timestamp,contract,signal
2025-10-23 05:26:12.560070,202512,BEARISH
2025-10-23 05:26:12.562151,202603,BULLISH
2025-10-23 05:26:12.563446,202605,BEARISH
2025-10-23 05:26:12.564477,202607,NEUTRAL
2025-10-23 05:26:12.565496,202609,BULLISH
2025-10-23 05:27:14.511300,202512,BEARISH
2025-10-23 05:27:14.515063,202603,BULLISH
2025-10-23 05:27:14.516278,202605,BEARISH
2025-10-23 05:27:14.517315,202607,NEUTRAL
2025-10-23 05:27:14.518342,202609,BULLISH
2025-10-23 05:28:14.921052,202512,BEARISH
2025-10-23 05:28:14.922830,202603,BULLISH
2025-10-23 05:28:14.923957,202605,BEARISH
2025-10-23 05:28:14.924975,202607,NEUTRAL
2025-10-23 05:28:14.925972,202609,BULLISH
2025-10-23 05:30:21.993851,202512,BEARISH
2025-10-23 05:30:21.995586,202603,BULLISH
2025-10-23 05:30:21.996756,202605,BEARISH
2025-10-23 05:30:21.997777,202607,NEUTRAL
2025-10-23 05:30:21.998836,202609,BULLISH
2025-10-23 05:31:31.127615,202512,BEARISH
2025-10-23 05:31:31.129348,202603,BULLISH
2025-10-23 05:31:31.130516,202605,BEARISH
2025-10-23 05:31:31.131571,202607,NEUTRAL
2025-10-23 05:31:31.132578,202609,BULLISH
