timestamp,cycle_id,contract,stage,outcome,detail,price_snapshot,bid,ask,initial_limit,fill_price,walk_away_price,regime,source
2026-02-10 13:54:00.376648+00:00,KC-3e25085f,KCK6 (202605),COUNCIL_DECISION,INFO,"direction=NEUTRAL, confidence=0.7, thesis=PLAUSIBLE, weighted_score=-0.0321, conviction_mult=1.0",293.35,,,,,,,BACKFILL
2026-02-10 13:54:00.376648+00:00,KC-3e25085f,KCK6 (202605),COMPLIANCE_AUDIT,PASS,Approved,293.35,,,,,,,BACKFILL
2026-02-10 13:57:15.343565+00:00,KC-eb4e2149,KCN6 (202607),COUNCIL_DECISION,PASS,"direction=BEARISH, confidence=0.7, thesis=PLAUSIBLE, weighted_score=-0.4798, conviction_mult=1.0",287.55,,,,,,,BACKFILL
2026-02-10 13:57:15.343565+00:00,KC-eb4e2149,KCN6 (202607),COMPLIANCE_AUDIT,PASS,Approved,287.55,,,,,,,BACKFILL
2026-02-10 13:57:15.343565+00:00,KC-eb4e2149,KCN6 (202607),STRATEGY_SELECTION,PASS,"prediction_type=DIRECTIONAL, strategy=BEAR_PUT_SPREAD",287.55,,,,,,,BACKFILL
2026-02-10 13:59:32.319031+00:00,KC-24798e3a,KCU6 (202609),COUNCIL_DECISION,PASS,"direction=BEARISH, confidence=0.9, thesis=PROVEN, weighted_score=-0.3924, conviction_mult=1.0",282.65,,,,,,,BACKFILL
2026-02-10 13:59:32.319031+00:00,KC-24798e3a,KCU6 (202609),COMPLIANCE_AUDIT,PASS,Approved,282.65,,,,,,,BACKFILL
2026-02-10 13:59:32.319031+00:00,KC-24798e3a,KCU6 (202609),STRATEGY_SELECTION,PASS,"prediction_type=DIRECTIONAL, strategy=BEAR_PUT_SPREAD",282.65,,,,,,,BACKFILL
2026-02-10 14:01:02.655146+00:00,KC-719370b9,KCH7 (202703),STRATEGY_SELECTION,PASS,"prediction_type=DIRECTIONAL, strategy=BEAR_PUT_SPREAD",275.25,,,,,,,BACKFILL
2026-02-10 14:01:02.655146+00:00,KC-719370b9,KCH7 (202703),COUNCIL_DECISION,PASS,"direction=BEARISH, confidence=0.7, thesis=PLAUSIBLE, weighted_score=-0.322, conviction_mult=1.0",275.25,,,,,,,BACKFILL
2026-02-10 14:01:02.655146+00:00,KC-719370b9,KCH7 (202703),COMPLIANCE_AUDIT,PASS,Approved,275.25,,,,,,,BACKFILL
2026-02-10 14:09:35.935264+00:00,KC-2f45ea43,KCZ6 (202612),COUNCIL_DECISION,PASS,"direction=BEARISH, confidence=0.7, thesis=PLAUSIBLE, weighted_score=-0.2967, conviction_mult=1.0",278.35,,,,,,,BACKFILL
2026-02-10 14:09:35.935264+00:00,KC-2f45ea43,KCZ6 (202612),COMPLIANCE_AUDIT,PASS,Approved,278.35,,,,,,,BACKFILL
2026-02-10 14:09:35.935264+00:00,KC-2f45ea43,KCZ6 (202612),STRATEGY_SELECTION,PASS,"prediction_type=DIRECTIONAL, strategy=BEAR_PUT_SPREAD",278.35,,,,,,,BACKFILL
2026-02-10 17:08:38.638659+00:00,KC-c87efbae,KCK6 (202605),STRATEGY_SELECTION,PASS,"prediction_type=DIRECTIONAL, strategy=BEAR_PUT_SPREAD",289.55,,,,,,,BACKFILL
2026-02-10 17:08:38.638659+00:00,KC-c87efbae,KCK6 (202605),COUNCIL_DECISION,PASS,"direction=BEARISH, confidence=0.7, thesis=PLAUSIBLE, weighted_score=-0.2191, conviction_mult=1.0",289.55,,,,,,,BACKFILL
2026-02-10 17:08:38.638659+00:00,KC-c87efbae,KCK6 (202605),COMPLIANCE_AUDIT,PASS,Approved,289.55,,,,,,,BACKFILL
2026-02-10 17:14:00.577089+00:00,KC-5c44650d,KCN6 (202607),COMPLIANCE_AUDIT,PASS,Approved,288.6,,,,,,,BACKFILL
2026-02-10 17:14:00.577089+00:00,KC-5c44650d,KCN6 (202607),STRATEGY_SELECTION,PASS,"prediction_type=DIRECTIONAL, strategy=BEAR_PUT_SPREAD",288.6,,,,,,,BACKFILL
2026-02-10 17:14:00.577089+00:00,KC-5c44650d,KCN6 (202607),COUNCIL_DECISION,PASS,"direction=BEARISH, confidence=0.7, thesis=PLAUSIBLE, weighted_score=-0.3005, conviction_mult=1.0",288.6,,,,,,,BACKFILL
2026-02-10 17:14:44.221615+00:00,KC-63138c0c,KCU6 (202609),COUNCIL_DECISION,PASS,"direction=BEARISH, confidence=0.7, thesis=PLAUSIBLE, weighted_score=-0.2111, conviction_mult=1.0",279.55,,,,,,,BACKFILL
2026-02-10 17:14:44.221615+00:00,KC-63138c0c,KCU6 (202609),COMPLIANCE_AUDIT,PASS,Approved,279.55,,,,,,,BACKFILL
2026-02-10 17:14:44.221615+00:00,KC-63138c0c,KCU6 (202609),STRATEGY_SELECTION,PASS,"prediction_type=DIRECTIONAL, strategy=BEAR_PUT_SPREAD",279.55,,,,,,,BACKFILL
2026-02-10 17:16:04.863248+00:00,KC-db6a542d,KCZ6 (202612),COUNCIL_DECISION,PASS,"direction=BEARISH, confidence=0.7, thesis=PLAUSIBLE, weighted_score=-0.1239, conviction_mult=1.0",275.35,,,,,,,BACKFILL
2026-02-10 17:16:04.863248+00:00,KC-db6a542d,KCZ6 (202612),COMPLIANCE_AUDIT,PASS,Approved,275.35,,,,,,,BACKFILL
2026-02-10 17:16:04.863248+00:00,KC-db6a542d,KCZ6 (202612),STRATEGY_SELECTION,PASS,"prediction_type=DIRECTIONAL, strategy=BEAR_PUT_SPREAD",275.35,,,,,,,BACKFILL
